Date,Site,Account,Keyword,Market,Location,Device,Tags,Rank,Base_Rank,Url,Advertiser_Competition,Global_Monthly_Searches,Regional_Monthly_Searches,CPC
2020-09-07,about.bankofamerica.com/,bankofamerica,about bank of america,US-en,,desktop,"enterprise, overview, mission critical",1,1,about.bankofamerica.com/en-us/who-we-are.html,0.0585714,590,320,2.85
2020-09-07,about.bankofamerica.com/,bankofamerica,ad council love has no labels,US-en,,desktop,"enterprise, what guides us",16,16,about.bankofamerica.com/en-us/what-guides-us/love-has-no-labels.html,0.0779221,70,50,3.01
2020-09-07,about.bankofamerica.com/,bankofamerica,advocate for the arts,US-en,,desktop,"enterprise, arts and culture",0,0,,0.044380300000000004,1600,590,11.7
2020-09-07,about.bankofamerica.com/,bankofamerica,african american documentaries,US-en,,desktop,"enterprise, arts and culture",0,0,,0.0451585,390,320,0.08
2020-09-07,about.bankofamerica.com/,bankofamerica,african american history,US-en,,desktop,"enterprise, arts and culture",0,0,,0.142439,12100,8100,5.15
2020-09-07,about.bankofamerica.com/,bankofamerica,african american history documentaries,US-en,,desktop,"enterprise, arts and culture",59,58,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture/black-america-since-mlk-film.html,0.0147783,140,110,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,alabama business development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,alabama economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.00729927,140,140,2.68
2020-09-07,about.bankofamerica.com/,bankofamerica,alabama economic growth,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0285714,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,alaska business development,US-en,,desktop,"enterprise, partnering locally",89,88,about.bankofamerica.com/en-us/partnering-locally/alaska.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,alaska economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.010204099999999999,50,50,0.0
